Energy(eV) Total_DOS
-13.13764155 0.0
-13.12284155 0.0
-13.10804155 0.0
-13.09324155 0.0
-13.07844155 0.0
-13.06364155 0.0
-13.048841549999999 0.0
-13.034041550000001 0.0
-13.01914155 0.0
-13.00434155 0.0
-12.98954155 0.0
-12.974741550000001 0.0
-12.95994155 0.0
-12.945141549999999 0.0
-12.93034155 0.0
-12.91554155 0.0
-12.90074155 0.0
-12.88584155 0.0
-12.871041550000001 0.0
-12.85624155 0.0
-12.841441549999999 0.0
-12.82664155 0.0
-12.81184155 0.0
-12.79704155 0.0
-12.78224155 0.0
-12.767441550000001 0.0
-12.75254155 0.0
-12.737741549999999 0.0
-12.72294155 0.0
-12.70814155 0.0
-12.69334155 0.0
-12.67854155 0.0
-12.663741550000001 0.0
-12.64894155 0.0
-12.634141549999999 0.0
-12.61924155 0.0
-12.60444155 0.0
-12.58964155 0.0
-12.57484155 0.0
-12.560041550000001 0.0
-12.54524155 0.0
-12.530441549999999 0.0
-12.51564155 0.0
-12.50084155 0.0
-12.48594155 0.0
-12.47114155 0.0
-12.456341550000001 0.0
-12.44154155 0.0
-12.42674155 0.0
-12.41194155 0.0
-12.39714155 0.0
-12.38234155 0.0
-12.367441549999999 0.0
-12.352641550000001 0.0
-12.33784155 0.0
-12.32304155 0.0
-12.30824155 0.0
-12.29344155 0.0
-12.27864155 0.0
-12.26384155 0.0
-12.249041550000001 0.0
-12.23414155 0.0
-12.21934155 0.0
-12.20454155 0.0
-12.18974155 0.0
-12.17494155 0.0
-12.160141549999999 0.0
-12.145341550000001 0.0
-12.13054155 0.0
-12.11574155 0.0
-12.10084155 0.0
-12.086041550000001 0.0
-12.07124155 0.0
-12.056441549999999 0.0
-12.041641550000001 0.0
-12.02684155 0.0
-12.01204155 0.0
-11.99724155 0.0
-11.98244155 0.0
-11.96754155 0.0
-11.952741549999999 0.0
-11.93794155 0.0
-11.92314155 0.0
-11.90834155 0.0
-11.89354155 0.0
-11.87874155 0.0
-11.86394155 0.0
-11.849141549999999 0.0
-11.83424155 0.0
-11.81944155 0.0
-11.80464155 0.0
-11.78984155 0.0214
-11.775041550000001 0.0478
-11.76024155 0.0657
-11.745441549999999 0.0769
-11.73064155 0.0877
-11.71574155 0.1025
-11.70094155 0.1096
-11.68614155 0.115
-11.671341550000001 0.1226
-11.65654155 0.1314
-11.641741549999999 0.1406
-11.62694155 0.147
-11.61214155 0.152
-11.59734155 0.1571
-11.58244155 0.163
-11.567641550000001 0.1692
-11.55284155 0.1752
-11.538041549999999 0.182
-11.52324155 0.1878
-11.50844155 0.1923
-11.49364155 0.1962
-11.47884155 0.2007
-11.464041550000001 0.2054
-11.44914155 0.2101
-11.43434155 0.2153
-11.41954155 0.2208
-11.40474155 0.2264
-11.38994155 0.2308
-11.37514155 0.2343
-11.360341550000001 0.2378
-11.34554155 0.2418
-11.330741549999999 0.2459
-11.31584155 0.2499
-11.30104155 0.2542
-11.28624155 0.2586
-11.27144155 0.263
-11.256641550000001 0.2675
-11.24184155 0.2722
-11.22704155 0.2757
-11.21224155 0.2789
-11.19744155 0.2824
-11.18254155 0.2859
-11.167741549999999 0.2894
-11.152941550000001 0.2929
-11.13814155 0.2966
-11.12334155 0.3005
-11.10854155 0.3044
-11.09374155 0.3084
-11.07894155 0.3125
-11.06414155 0.3167
-11.04924155 0.3203
-11.03444155 0.3233
-11.01964155 0.3263
-11.00484155 0.3295
-10.99004155 0.3327
-10.97524155 0.336
-10.960441549999999 0.3395
-10.945641550000001 0.343
-10.93074155 0.3465
-10.91594155 0.3501
-10.90114155 0.3537
-10.886341550000001 0.3573
-10.87154155 0.3611
-10.856741549999999 0.3649
-10.84194155 0.3684
-10.82714155 0.3714
-10.81234155 0.3744
-10.79744155 0.3775
-10.782641550000001 0.3807
-10.76784155 0.3838
-10.753041549999999 0.3871
-10.73824155 0.3903
-10.72344155 0.3936
-10.70864155 0.3969
-10.69384155 0.4003
-10.67904155 0.4039
-10.66414155 0.4075
-10.649341549999999 0.4112
-10.63454155 0.4149
-10.61974155 0.4187
-10.60494155 0.4219
-10.59014155 0.4248
-10.575341550000001 0.4279
-10.56054155 0.431
-10.545741549999999 0.434
-10.53084155 0.4373
-10.51604155 0.4406
-10.50124155 0.444
-10.48644155 0.4475
-10.471641550000001 0.4509
-10.45684155 0.4544
-10.442041549999999 0.458
-10.42724155 0.4616
-10.41244155 0.4652
-10.39754155 0.4689
-10.38274155 0.4726
-10.367941550000001 0.4763
-10.35314155 0.4799
-10.338341549999999 0.4834
-10.32354155 0.4867
-10.30874155 0.4902
-10.29394155 0.4937
-10.279041549999999 0.4972
-10.264241550000001 0.5007
-10.24944155 0.5044
-10.23464155 0.508
-10.21984155 0.5117
-10.20504155 0.5155
-10.19024155 0.5192
-10.17544155 0.5232
-10.160641550000001 0.5273
-10.14574155 0.5315
-10.13094155 0.5357
-10.11614155 0.54
-10.10134155 0.5444
-10.08654155 0.5489
-10.071741549999999 0.5532
-10.056941550000001 0.5572
-10.04214155 0.5613
-10.02734155 0.5654
-10.01244155 0.5696
