Energy(eV) Total_DOS
-26.930521 0.000000
-26.907421 0.000000
-26.884321 0.000000
-26.861221 0.000000
-26.838121 0.000000
-26.815021 0.000000
-26.792021 0.000000
-26.768921 0.000000
-26.745821 0.000000
-26.722721 0.000000
-26.699621 0.000000
-26.676521 0.000000
-26.653421 0.000000
-26.630321 0.000000
-26.607221 0.000000
-26.584121 0.000000
-26.561021 0.000000
-26.537921 0.000000
-26.514821 0.000000
-26.491721 0.000000
-26.468621 0.000000
-26.445521 0.000000
-26.422521 0.000000
-26.399421 0.000000
-26.376321 0.000000
-26.353221 0.000000
-26.330121 0.000000
-26.307021 0.000000
-26.283921 0.000000
-26.260821 0.000000
-26.237721 0.000000
-26.214621 0.000000
-26.191521 0.000000
-26.168421 0.000000
-26.145321 0.000000
-26.122221 0.000000
-26.099121 0.000000
-26.076021 0.000000
-26.052921 0.000000
-26.029921 0.000000
-26.006821 0.000000
-25.983721 0.000000
-25.960621 0.000000
-25.937521 0.000000
-25.914421 0.000000
-25.891321 0.000000
-25.868221 0.000000
-25.845121 0.000000
-25.822021 0.000000
-25.798921 0.000000
-25.775821 0.000000
-25.752721 0.000000
-25.729621 0.000000
-25.706521 0.000000
-25.683421 0.000000
-25.660321 0.000000
-25.637321 0.000000
-25.614221 0.000000
-25.591121 0.000000
-25.568021 0.000000
-25.544921 0.000000
-25.521821 0.000000
-25.498721 0.000000
-25.475621 0.000000
-25.452521 0.000000
-25.429421 0.000000
-25.406321 0.000000
-25.383221 0.000000
-25.360121 0.000000
-25.337021 0.000000
-25.313921 0.000000
-25.290821 0.000000
-25.267721 0.000000
-25.244721 0.000000
-25.221621 0.000000
-25.198521 0.000000
-25.175421 0.000000
-25.152321 0.000000
-25.129221 0.000000
-25.106121 0.000000
-25.083021 0.000000
-25.059921 0.000000
-25.036821 0.000000
-25.013721 0.000000
-24.990621 0.000000
-24.967521 0.000000
-24.944421 0.000000
-24.921321 0.000000
-24.898221 0.000000
-24.875221 0.000000
-24.852121 0.000000
-24.829021 134.679600
-24.805921 82.622900
-24.782821 24.047400
-24.759721 36.247000
-24.736621 51.326900
-24.713521 70.244400
-24.690421 61.773000
-24.667321 19.953900
-24.644221 56.834600
-24.621121 59.461600
-24.598021 91.358100
-24.574921 31.026100
-24.551821 20.363600
-24.528721 160.182700
-24.505621 0.000000
-24.482621 0.000000
-24.459521 0.000000
-24.436421 0.000000
-24.413321 0.000000
-24.390221 0.000000
-24.367121 0.000000
-24.344021 0.000000
-24.320921 0.000000
-24.297821 0.000000
-24.274721 0.000000
-24.251621 0.000000
-24.228521 0.000000
-24.205421 0.000000
-24.182321 0.000000
-24.159221 0.000000
-24.136121 0.000000
-24.113021 0.000000
-24.090021 0.000000
-24.066921 0.000000
-24.043821 0.000000
-24.020721 0.000000
-23.997621 0.000000
-23.974521 0.000000
-23.951421 0.000000
-23.928321 0.000000
-23.905221 0.000000
-23.882121 0.000000
-23.859021 0.000000
-23.835921 0.000000
-23.812821 0.000000
-23.789721 0.000000
-23.766621 0.000000
-23.743521 0.000000
-23.720421 0.000000
-23.697421 0.000000
-23.674321 0.000000
-23.651221 0.000000
-23.628121 0.000000
-23.605021 0.000000
-23.581921 0.000000
-23.558821 0.000000
-23.535721 0.000000
-23.512621 0.000000
-23.489521 0.000000
-23.466421 0.000000
-23.443321 0.000000
-23.420221 0.000000
-23.397121 0.000000
-23.374021 0.000000
-23.350921 0.000000
-23.327921 0.000000
-23.304821 0.000000
-23.281721 0.000000
-23.258621 0.000000
-23.235521 0.000000
-23.212421 0.000000
-23.189321 0.000000
-23.166221 0.000000
-23.143121 0.000000
-23.120021 0.000000
-23.096921 0.000000
-23.073821 0.000000
-23.050721 0.000000
-23.027621 0.000000
-23.004521 0.000000
-22.981421 0.000000
-22.958321 0.000000
-22.935321 0.000000
-22.912221 0.000000
-22.889121 0.000000
-22.866021 0.000000
-22.842921 0.000000
-22.819821 0.000000
-22.796721 0.000000
-22.773621 0.000000
-22.750521 0.000000
-22.727421 0.000000
-22.704321 0.000000
-22.681221 0.000000
-22.658121 0.000000
-22.635021 0.000000
-22.611921 0.000000
-22.588821 0.000000
-22.565721 0.000000
-22.542721 0.000000
-22.519621 0.000000
-22.496521 0.000000
-22.473421 0.000000
-22.450321 0.000000
-22.427221 0.000000
-22.404121 0.000000
-22.381021 0.000000
-22.357921 0.000000
-22.334821 0.000000
-22.311721 0.000000
-22.288621 0.000000
-22.265521 0.000000
-22.242421 0.000000
-22.219321 0.000000
-22.196221 0.000000
-22.173121 0.000000
-22.150121 0.000000
-22.127021 0.000000
-22.103921 0.000000
-22.080821 0.000000
-22.057721 0.000000
-22.034621 0.000000
-22.011521 0.000000
-21.988421 0.000000
-21.965321 0.000000
-21.942221 0.000000
-21.919121 0.000000
-21.896021 0.000000
-21.872921 0.000000
-21.849821 0.000000
-21.826721 0.000000
-21.803621 0.000000
-21.780621 0.000000
-21.757521 0.000000
-21.734421 0.000000
-21.711321 0.000000
-21.688221 0.000000
-21.665121 0.000000
-21.642021 0.000000
-21.618921 0.000000
-21.595821 0.000000
-21.572721 0.000000
-21.549621 0.000000
-21.526521 0.000000
-21.503421 0.000000
-21.480321 0.000000
-21.457221 0.000000
-21.434121 0.000000
-21.411021 0.000000
-21.388021 0.000000
-21.364921 0.000000
-21.341821 0.000000
-21.318721 0.000000
-21.295621 0.000000
-21.272521 0.000000
-21.249421 0.000000
-21.226321 0.000000
-21.203221 0.000000
-21.180121 0.000000
-21.157021 0.000000
-21.133921 0.000000
-21.110821 0.000000
-21.087721 0.000000
-21.064621 0.000000
